artist,title,discID,file,trackNo,christmas
test artist,test title,test disk,test file,tests track,FALSE
Anne,Then,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Anne - Marie - Then.cdg,,FALSE
Bebe Rexha Ft Florida Georgia Line,Meant To Be,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Bebe Rexha ft Florida Georgia Line - Meant to Be.cdg,1,FALSE
Bruno Mars And Cardi B,Finesse,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Bruno Mars and Cardi B - Finesse.cdg,,FALSE
Calvin Harris And Dua Lipa,One Kiss,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Calvin Harris and Dua Lipa - One Kiss.cdg,,FALSE
Camila Cabello,Never Be The Same,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Camila Cabello - Never Be The Same.cdg,,FALSE
Camila Cabello,Something's Gott Give,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Camila Cabello - Something's Gott Give.cdg,2,FALSE
Chainsmokers,You Owe Me,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Chainsmokers - You Owe Me.cdg,20,FALSE
Chas & Dave,Rabbit,New Songs (Sort),D:/KSJ/sort (NEW)/NEW SONGS (sort)/Chas & Dave - Rabbit - 13237.cdg,,FALSE
Chvrches,Get Out,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Chvrches - Get Out.cdg,,FALSE
Craig David,I Know You,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Craig David - I Know You.cdg,,FALSE
David Guetta And Afrojack,Dirty Sexy Money,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/David Guetta and Afrojack - Dirty Sexy Money.cdg,,FALSE
Dodie,Party Tattoos,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Dodie - Party Tattoos.cdg,,FALSE
Drake,God's Plan (Clean),Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/Drake - God's Plan (clean).cdg,3,FALSE
Drake,Nice For What,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/Drake - Nice For What.cdg,,FALSE
Eminem,River,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/Eminem - River.cdg,,FALSE
First Aid Kit,Fireworks,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/First Aid Kit - Fireworks.cdg,,FALSE
G - Eazy And Halsey,Him & I,Sf384 (Febuary 2018),D:/KSJ/sort (NEW)/SF384(Febuary 2018)/G - Eazy and Halsey - Him & I.cdg,,FALSE
George Ezra,Paradise,Sf386 (April 2018),D:/KSJ/sort (NEW)/SF386(April 2018)/George Ezra - Paradise.cdg,6,FALSE
George Ezra,Pretty Shining People,Sf387 (May 2018),D:/KSJ/sort (NEW)/SF387(May 2018)/George Ezra - Pretty Shining People.cdg,,FALSE
